VideoCompletes,SocialLikes,SocialShares,conversion,CampaignID,AdDigitalChannel
96310,0,0,4,4,Programmatic Display
97747,0,0,4,4,Programmatic Display
95799,0,0,4,4,Programmatic Display
96037,0,0,0,4,Programmatic Display
90498,0,0,4,4,Programmatic Display
85240,5,2,0,4,Programmatic Display
76601,5,2,0,4,Programmatic Display
76168,5,2,0,4,Programmatic Display
75699,5,2,0,4,Programmatic Display
74806,5,2,0,4,Programmatic Display
73262,5,2,0,4,Programmatic Display
71069,5,2,0,4,Programmatic Display
71061,5,2,0,4,Programmatic Display
70479,5,2,0,4,Programmatic Display
69006,5,2,0,4,Programmatic Display
67772,5,2,0,4,Programmatic Display
65922,5,2,1,4,Programmatic Display
64640,5,2,0,4,Programmatic Display
63142,5,2,0,4,Programmatic Display
59521,5,2,12,4,Programmatic Display
34597,5,2,0,4,Programmatic Display
34277,5,2,0,4,Programmatic Display
32147,5,2,0,4,Programmatic Display
31037,5,2,1,4,Programmatic Display
33191,5,2,2,4,Programmatic Display
33305,5,2,2,4,Programmatic Display
28840,5,2,0,4,Programmatic Display
22373,5,2,1,4,Programmatic Display
22519,5,2,0,4,Programmatic Display
25038,5,2,10,4,Programmatic Display
24659,5,2,4,4,Programmatic Display
26104,5,2,3,4,Programmatic Display
29305,5,2,5,4,Programmatic Display
28831,5,2,1,4,Programmatic Display
29954,5,2,0,4,Programmatic Display
31132,0,0,1,4,Programmatic Display
32355,0,0,2,4,Programmatic Display
33740,0,0,1,4,Programmatic Display
34726,0,0,5,4,Programmatic Display
37207,0,0,17,4,Programmatic Display
40785,0,0,4,4,Programmatic Display
42794,0,0,8,4,Programmatic Display
42878,0,0,2,4,Programmatic Display
43351,0,0,1,4,Programmatic Display
47161,0,0,29,4,Programmatic Display
49802,0,0,9,4,Programmatic Display
52404,0,0,7,4,Programmatic Display
56030,0,0,15,4,Programmatic Display
56372,0,0,0,4,Programmatic Display
57725,0,0,3,4,Programmatic Display
58751,0,0,6,4,Programmatic Display
65111,0,0,30,4,Programmatic Display
66553,0,0,7,4,Programmatic Display
68095,0,0,9,4,Programmatic Display
71326,0,0,23,4,Programmatic Display
72183,0,0,0,4,Programmatic Display
73564,0,0,0,4,Programmatic Display
75423,0,0,0,4,Programmatic Display
76740,0,0,0,4,Programmatic Display
76962,0,0,0,4,Programmatic Display
78322,0,0,0,4,Programmatic Display
77577,0,0,45,4,Programmatic Display
78371,0,0,22,4,Programmatic Display
79081,0,0,22,4,Programmatic Display
132532,0,0,35,4,Programmatic Display
155566,0,0,31,4,Programmatic Display
189117,0,0,81,4,Programmatic Display
262942,3,0,256,4,Programmatic Display
294401,3,0,78,4,Programmatic Display
322159,3,0,59,4,Programmatic Display
395869,3,0,83,4,Programmatic Display
474707,4,0,48,4,Programmatic Display
578392,5,0,64,4,Programmatic Display
695789,7,0,152,4,Programmatic Display
830154,8,0,40,4,Programmatic Display
917535,8,0,41,4,Programmatic Display
997169,8,0,61,4,Programmatic Display
1110016,8,0,212,4,Programmatic Display
1207186,8,0,102,4,Programmatic Display
1296916,8,0,131,4,Programmatic Display
1441863,8,0,120,4,Programmatic Display
1631467,8,0,93,4,Programmatic Display
1725138,8,0,47,4,Programmatic Display
1821748,8,0,67,4,Programmatic Display
1910672,8,0,92,4,Programmatic Display
1994024,8,0,99,4,Programmatic Display
2093625,8,0,156,4,Programmatic Display
2196571,10,0,147,4,Programmatic Display
2377824,11,0,127,4,Programmatic Display
2439492,11,0,34,4,Programmatic Display
2521726,11,0,46,4,Programmatic Display
2596960,11,0,65,4,Programmatic Display
2661504,11,0,102,4,Programmatic Display
2726467,11,0,30,4,Programmatic Display
2741310,11,0,41,4,Programmatic Display
2743181,11,0,149,4,Programmatic Display
2711868,11,0,39,4,Programmatic Display
2714574,8,0,45,4,Programmatic Display
2736237,8,0,110,4,Programmatic Display
2768354,9,0,28,4,Programmatic Display
2747487,13,0,13,4,Programmatic Display
2816400,12,0,11,4,Programmatic Display
2867867,11,0,23,4,Programmatic Display
2865287,9,0,16,4,Programmatic Display
2843187,8,0,4,4,Programmatic Display
2903253,8,0,25,4,Programmatic Display
2925830,8,0,22,4,Programmatic Display
2929062,9,0,8,4,Programmatic Display
2948707,10,0,25,4,Programmatic Display
2974234,10,0,5,4,Programmatic Display
2933902,10,0,11,4,Programmatic Display
2871501,10,0,61,4,Programmatic Display
2959097,12,0,62,4,Programmatic Display
3044206,12,0,40,4,Programmatic Display
3103716,12,0,25,4,Programmatic Display
3198184,12,0,24,4,Programmatic Display
3257274,12,0,16,4,Programmatic Display
3392282,10,0,69,4,Programmatic Display
3449792,11,0,69,4,Programmatic Display
3557678,11,0,32,4,Programmatic Display
3473294,11,0,1,4,Programmatic Display
3395923,11,0,6,4,Programmatic Display
3326226,11,0,11,4,Programmatic Display
3259096,13,0,10,4,Programmatic Display
3204460,13,0,2,4,Programmatic Display
3251807,14,0,5,4,Programmatic Display
3316206,15,0,29,4,Programmatic Display
3328133,15,0,59,4,Programmatic Display
3351713,15,0,23,4,Programmatic Display
3345493,14,0,4,4,Programmatic Display
3382185,10,0,28,4,Programmatic Display
3306826,10,0,15,4,Programmatic Display
3219586,10,0,3,4,Programmatic Display
3179476,10,0,21,4,Programmatic Display
3140916,10,0,4,4,Programmatic Display
