VideoCompletes,SocialLikes,SocialShares,conversion
16491,0,0,24
25130,0,0,58
22457,0,0,5
20818,0,0,2
16178,0,0,19
11984,0,0,165
5538,0,0,193
13465,0,0,285
16716,1,0,134
19641,4,0,452
21416,4,0,524
22466,6,0,331
29941,6,0,516
36476,17,0,373
42955,14,0,357
68205,15,0,615
72466,13,0,622
59009,13,0,460
50774,1,0,479
40876,1,0,397
14671,2,0,389
13707,3,0,540
22878,3,0,627
21727,3,0,406
27607,3,0,515
28613,3,0,553
26623,2,0,517
16871,3,0,491
28706,4,0,350
27377,13,0,524
29837,16,2,483
26957,19,2,421
31893,20,2,412
21947,19,2,462
23035,11,2,607
20157,6,0,573
18487,6,0,833
14909,4,0,615
20247,8,0,573
18388,7,0,686
16176,9,0,544
17155,6,0,69
16916,7,0,69
10077,4,0,208
8553,4,0,215
11811,6,0,236
17170,9,0,200
15282,8,0,131
15154,7,1,158
19053,7,1,217
17803,3,1,246
15964,0,2,386
22431,0,2,206
23679,0,1,152
24079,0,1,207
34532,0,1,191
43657,5,0,111
48259,9,0,199
52182,9,0,275
60556,11,0,207
52595,11,0,129
55150,7,0,138
46003,9,0,164
48583,19,0,76
40977,18,0,141
40746,18,0,177
33182,20,0,187
37806,14,0,231
35213,6,0,378
33030,7,0,285
41485,9,0,249
37218,8,0,319
43093,9,0,304
41086,7,0,237
44102,7,0,369
34612,5,0,431
37312,3,0,326
31142,7,1,275
31397,7,1,290
28638,16,1,274
39622,16,1,253
40806,17,1,368
46238,12,0,253
47407,14,0,267
47373,5,0,297
41978,5,0,256
40381,4,0,431
42050,4,0,381
44835,4,0,354
109986,22,1,675
159763,35,6,763
213216,93,7,558
312759,153,11,854
373164,192,11,484
355546,218,13,1045
389584,282,12,962
451086,269,11,1164
481340,245,7,1319
582093,247,14,1027
729818,259,11,743
787331,223,7,1009
781152,216,7,1356
789598,231,11,1333
765363,235,12,1322
681652,224,14,1130
715387,249,19,1008
835782,265,19,1150
806287,273,22,1346
792389,254,17,1510
808446,239,16,1857
746192,202,11,1883
646648,185,11,1601
686014,181,11,1333
775763,188,9,1610
745822,188,9,1534
742863,208,11,1451
721472,199,11,1520
673541,181,4,1534
567447,184,3,1674
592115,186,2,1228
562322,163,2,1434
495127,140,2,1527
536611,134,4,290
525434,192,19,776
529756,203,26,566
541468,238,30,764
690032,284,30,899
744164,305,35,566
801610,312,22,681
805169,273,15,745
895535,246,10,767
851800,231,10,582
800558,246,5,566
810412,168,3,587
853518,222,3,349
823750,273,5,354
874277,328,5,544
953922,331,6,625
1006496,393,14,488
1019458,397,14,434
1093297,421,20,360
1111644,440,21,342
1177830,452,21,460
1230680,439,17,624
1255378,429,19,491
1060758,406,10,333
873765,332,11,281
622502,298,8,350
394558,289,49,346
239698,284,53,302
313882,313,60,345
410395,375,60,518
511178,400,63,477
594879,452,33,560
624978,466,30,310
643998,472,23,460
636553,480,25,237
590310,468,22,674
581412,415,18,838
605038,402,21,910
590853,370,27,910
693494,315,30,496
825266,325,33,664
954915,323,22,768
1139809,334,16,1298
1329561,318,16,997
1135098,322,10,1216
925864,306,8,980
695771,294,28,781
430764,307,28,698
147214,315,26,1325
156737,322,25,944
153016,357,28,730
168015,354,8,629
154591,317,8,528
145801,330,4,636
132518,361,4,658
133395,366,3,625
136545,378,4,915
139392,393,5,805
145699,327,5,678
162366,320,5,883
158675,363,9,672
154011,450,10,802
159462,497,9,788
174658,611,10,1161
173992,617,11,1455
401206,559,4,1123
656006,493,5,964
922034,466,7,553
1166065,399,6,742
1448906,359,6,1289
1526827,313,6,1103
1510322,320,3,1223
1519513,341,4,1414
1539461,317,4,1229
1505452,354,7,553
1476392,384,10,933
1504102,371,11,980
1503422,353,10,1191
1489966,408,13,1064
1527397,403,11,1671
1538564,405,10,1399
1539071,429,9,1127
1584764,418,8,1011
1624061,396,6,1170
1579555,357,5,1755
1552668,357,3,1398
1567236,313,4,1647
1521568,287,4,1421
1480716,294,5,1028
1507911,320,5,1099
1530588,302,6,1410
1490556,275,5,1400
1519606,267,7,1348
1555516,242,11,1351
1592445,242,14,1469
1596917,255,17,895
1616774,290,18,992
1616008,312,16,1378
1469172,301,14,1383
1260309,265,11,1009
1137500,267,16,1304
1014589,278,15,1436
865636,283,16,1156
867133,280,12,921
923911,325,11,1004
911525,313,2,1276
973630,310,8,1518
1020332,326,7,1704
