VideoCompletes,SocialLikes,SocialShares,conversion
36307,0,0,5
36307,0,0,0
35922,0,0,99
33824,0,0,63
28285,0,0,8
22547,0,0,16
14490,0,0,2
14057,0,0,9
16716,1,0,36
19065,4,0,238
19065,4,0,7
19065,4,0,62
19641,4,0,8
19641,4,0,37
19641,4,0,100
21726,4,0,234
21726,4,0,61
21726,4,0,85
21416,4,0,1
21416,4,0,50
21416,4,0,93
21416,4,0,108
22564,6,0,26
22564,6,0,56
22221,6,0,9
22221,6,0,17
22466,6,0,115
20952,6,0,130
26627,6,0,63
26838,6,0,109
27200,6,0,10
29806,6,0,75
29941,6,0,129
30649,6,0,189
35782,6,0,75
36020,6,0,32
36936,6,0,24
36936,6,0,3
36476,17,0,50
34181,14,0,119
34740,14,0,36
34740,14,0,48
36906,14,0,20
42955,14,0,11
42955,14,0,123
43321,14,0,110
43325,14,0,105
44513,14,0,178
68203,14,0,119
68203,15,0,7
68205,15,0,96
69157,15,0,217
70575,13,0,99
72963,13,0,131
71433,13,0,1
71433,13,0,3
72466,13,0,171
69496,13,0,119
63821,13,0,32
63623,13,0,155
64471,13,0,11
61865,13,0,62
59009,13,0,81
58614,13,0,184
53481,13,0,18
53243,13,0,105
53439,13,0,7
53442,13,0,5
50774,1,0,160
50718,1,0,117
50159,1,0,31
50159,1,0,104
46925,1,0,1
40876,1,0,12
40876,1,0,132
38425,1,0,90
38421,1,0,16
37233,1,0,100
14661,1,0,13
14673,0,0,28
14671,2,0,142
13719,2,0,158
11155,2,0,13
8768,3,0,98
14984,3,0,40
14984,3,0,43
13707,3,0,188
13472,3,0,194
13472,3,0,0
14168,3,0,106
22878,3,0,52
22878,3,0,28
22878,3,0,247
22555,3,0,128
22555,3,0,23
22555,3,0,142
21730,3,0,3
21727,3,0,23
21727,3,0,87
21904,3,0,193
22396,3,0,2
22396,3,0,44
23580,3,0,3
24010,3,0,58
27607,3,0,215
27615,5,0,239
29465,5,0,44
29465,5,0,99
28620,5,0,4
28608,5,0,35
28613,3,0,132
29493,3,0,179
29491,3,0,27
31432,2,0,143
26333,2,0,4
26624,2,0,15
26623,2,0,149
27188,2,0,240
27262,3,0,18
26553,3,0,122
16871,3,0,4
16871,3,0,0
16871,3,0,107
25265,3,0,106
25265,3,0,6
25265,4,0,126
26742,4,0,0
28411,4,0,15
28706,4,0,97
30175,9,0,135
32477,13,0,26
32477,13,0,143
30888,13,0,4
30458,13,0,9
27377,13,0,207
27915,11,0,146
26502,11,0,4
30049,11,0,152
29022,16,2,0
29022,16,2,18
29837,16,2,163
29560,16,2,203
29707,16,2,1
27793,19,2,62
26356,19,2,0
26486,19,2,2
26957,19,2,153
27961,19,2,93
31400,18,2,0
31400,18,2,220
30242,18,2,0
30434,18,2,0
31893,20,2,99
23499,20,2,152
25321,20,2,1
25665,19,2,187
23319,19,2,0
21650,19,2,4
21947,19,2,118
20301,14,2,355
22763,10,2,35
23547,11,2,133
23551,11,2,0
23551,11,2,2
23035,11,2,82
23665,11,2,166
23228,11,2,0
20583,11,2,253
20103,6,0,0
20103,6,0,1
20157,6,0,153
19554,6,0,285
19407,6,0,1
19379,3,0,146
19379,3,0,0
18958,3,0,5
18487,6,0,396
17156,6,0,191
14159,6,0,18
14159,6,0,135
15071,6,0,0
14879,6,0,35
14909,4,0,236
17879,5,0,103
16820,5,0,19
20244,5,0,164
20244,5,0,0
20244,5,0,17
20247,8,0,270
20247,8,0,136
15357,8,0,9
14923,7,0,182
14919,7,0,0
15303,7,0,35
18388,7,0,324
17212,7,0,97
17216,8,0,0
17050,9,0,181
17050,9,0,0
17050,9,0,14
16176,9,0,252
16188,9,0,2
17136,9,0,12
17145,9,0,0
17145,9,0,1
17155,9,0,1
17155,6,0,53
18119,6,0,30
17603,6,0,0
18481,6,0,18
17569,6,0,0
18405,6,0,17
16916,7,0,4
15190,6,0,31
14427,6,0,8
10659,7,0,105
10659,7,0,0
10659,7,0,2
10077,4,0,62
10077,4,0,52
11757,4,0,0
12004,4,0,29
12022,4,0,12
11638,4,0,1
8553,4,0,121
10244,4,0,124
10300,3,0,7
9861,5,0,46
9861,5,0,0
10157,5,0,3
11811,6,0,56
12047,9,0,112
12994,9,0,3
13148,9,0,34
13148,9,0,0
13138,9,0,5
17170,9,0,46
15969,9,0,13
15985,9,0,1
15904,9,0,67
15904,9,0,0
15068,9,0,9
15282,8,0,41
14046,8,0,52
14282,8,0,3
14580,7,0,44
15164,7,0,1
15167,7,0,3
15154,7,1,55
15998,7,1,129
13954,7,1,2
15100,7,1,55
17641,7,1,2
17641,7,1,0
19053,7,1,29
17644,7,1,59
17584,7,1,6
17287,4,1,116
19753,4,1,2
19457,4,1,7
17803,3,1,56
18952,0,1,51
17057,0,2,101
17598,0,2,94
19669,0,2,0
19716,0,2,9
15964,0,2,131
16415,0,2,52
16399,0,2,26
16050,0,2,93
20423,0,2,1
21893,0,2,4
22431,0,2,30
22958,0,2,68
23481,0,2,1
23183,0,2,42
23614,0,2,0
23611,0,2,0
23679,0,1,41
24171,0,1,82
24169,0,1,9
23183,0,1,31
24732,0,1,10
24732,0,1,23
24079,0,1,52
26783,0,1,85
26783,0,1,2
27004,0,1,8
25666,0,1,4
25666,0,1,17
34532,0,1,75
33432,0,1,37
33434,0,0,0
40114,0,0,24
40925,0,0,3
41118,0,0,1
43657,5,0,46
44416,5,0,61
44425,5,0,1
48765,5,0,66
48751,5,0,5
47281,5,0,8
48259,9,0,58
50380,9,0,108
49621,9,0,4
49621,9,0,122
50478,9,0,1
52246,9,0,1
52182,9,0,39
56220,9,0,62
57409,9,0,1
63096,9,0,49
60111,9,0,0
60111,9,0,6
60556,11,0,89
59112,11,0,50
60487,11,0,7
60819,11,0,37
61349,11,0,1
61349,11,0,20
52595,11,0,14
60812,11,0,41
60814,11,0,39
53430,12,0,38
51771,12,0,2
51531,12,0,0
55150,7,0,18
54348,7,0,64
54888,7,0,12
50707,13,0,27
47733,13,0,1
47733,13,0,27
46003,9,0,33
43347,18,0,27
43350,18,0,3
43350,19,0,39
42464,19,0,5
40696,19,0,0
48583,19,0,2
43915,19,0,38
43086,20,0,0
38944,20,0,33
40306,20,0,17
40316,20,0,3
40977,18,0,50
39529,18,0,31
38154,18,0,0
38914,18,0,75
40834,18,0,4
40834,18,0,19
40746,18,0,48
32232,18,0,64
37638,18,0,6
37647,17,0,66
38433,17,0,8
39592,19,0,7
33182,20,0,36
32781,20,0,43
32373,20,0,8
37680,14,0,74
37291,14,0,2
37291,14,0,17
37806,14,0,87
37806,5,0,133
37806,6,0,5
38452,5,0,72
37939,5,0,1
37939,5,0,6
35213,6,0,161
35677,8,0,123
35328,7,0,26
33138,7,0,50
34463,7,0,29
34844,7,0,4
33030,7,0,53
32945,7,0,75
32945,7,0,4
38640,9,0,100
37703,9,0,9
37703,9,0,28
41485,9,0,33
41727,11,0,128
36317,11,0,1
37488,11,0,89
38081,11,0,7
36922,9,0,0
37218,8,0,94
39511,8,0,176
39639,8,0,13
40955,9,0,68
43585,9,0,15
43585,9,0,1
43093,9,0,31
43515,9,0,160
46707,8,0,3
46061,8,0,50
45930,8,0,0
45930,8,0,4
41086,7,0,20
44667,5,0,116
44656,5,0,122
45885,7,0,41
43446,7,0,3
43055,7,0,0
44102,7,0,87
45243,7,0,130
45243,7,0,20
40033,5,0,67
38418,5,0,6
38418,5,0,5
34612,5,0,203
35054,3,0,75
35054,3,0,62
33875,3,0,70
37633,3,0,30
37636,3,0,12
37312,3,0,77
36778,3,0,97
39642,3,0,3
33339,7,1,111
31155,7,1,7
31162,7,1,1
31142,7,1,56
31190,7,1,81
29306,7,1,20
29931,7,1,131
31715,7,1,9
31715,7,1,0
31397,7,1,49
26646,7,1,89
26646,7,1,12
25305,5,1,59
29724,5,1,23
29724,11,1,0
28638,16,1,91
32183,16,1,66
36772,16,1,2
35413,16,1,38
37710,16,1,0
37714,16,1,1
39622,16,1,146
39050,17,1,66
39050,17,1,0
43713,17,1,89
40805,17,1,0
40802,17,1,73
40806,17,1,140
41884,17,1,66
38758,17,1,3
41440,12,0,70
46230,12,0,0
46223,12,0,0
46238,12,0,114
45782,14,0,117
44471,14,0,0
45564,14,0,75
45770,14,0,0
46059,14,0,0
47407,14,0,75
48643,16,0,172
48655,16,0,11
48655,16,0,65
47195,16,0,0
47201,10,0,4
47373,5,0,45
42678,5,0,124
38089,5,0,0
44353,5,0,88
43518,5,0,0
43715,5,0,3
41978,5,0,41
42855,4,0,53
43699,4,0,3
41347,4,0,123
40032,4,0,45
40033,4,0,0
40381,4,0,207
38089,4,0,142
38214,4,0,8
36705,4,0,139
35626,4,0,22
37024,4,0,4
42050,4,0,66
44802,2,0,77
45503,2,0,8
43834,2,0,181
44084,2,0,22
43795,4,0,3
42457,4,0,0
43599,2,0,63
44662,2,0,67
44729,2,0,248
46269,6,1,0
46979,6,1,11
49673,6,1,12
49673,11,1,0
49681,11,1,12
47104,11,1,218
44616,17,1,0
98989,17,1,35
98818,17,1,3
98054,21,1,0
97210,21,1,25
96278,21,1,44
94141,22,1,0
97357,22,1,101
99138,22,1,193
106703,26,3,0
108491,26,3,26
106414,26,3,27
101261,28,6,0
110154,28,6,75
109129,28,6,133
106363,30,6,0
130354,30,6,31
130314,30,6,0
127970,31,6,0
132650,30,6,66
132637,30,6,111
130259,33,6,0
144182,33,6,11
144690,33,6,135
143338,63,5,0
143991,67,6,59
141113,67,6,2
141113,76,6,0
141508,76,6,49
139095,76,6,72
139226,73,6,0
119426,73,6,81
119426,73,6,5
119385,69,6,0
119707,69,6,40
119428,70,6,104
119428,71,6,0
117064,71,6,35
117132,72,6,169
120344,103,4,0
122031,104,4,79
122564,104,4,0
122564,106,3,0
126304,106,3,47
122285,106,3,157
122416,111,3,0
172934,114,3,256
173526,114,3,0
173537,115,3,0
172545,114,3,55
174011,114,3,56
174011,118,5,0
159909,118,5,31
159684,118,5,155
162159,92,5,0
160892,88,4,35
160898,88,4,11
160898,77,4,0
172519,78,4,21
172043,78,4,65
172066,90,4,0
169737,90,4,78
169737,90,4,0
169772,101,4,0
183916,101,4,6
182817,100,4,82
182817,101,4,0
182247,101,4,146
184129,100,4,96
181192,83,4,0
178252,82,4,54
179250,82,4,1
179250,79,2,0
165261,79,2,258
169831,79,2,176
169849,92,2,0
124882,89,2,59
124281,89,2,0
124301,88,2,0
123661,88,5,163
122195,88,5,92
122195,87,3,0
121299,87,3,113
121869,87,3,184
123516,127,3,0
124390,127,3,57
128458,127,3,10
128458,127,3,0
116753,129,3,63
115536,129,3,117
115554,128,6,0
160397,128,6,83
160397,128,6,0
160386,119,6,0
146574,119,6,234
146679,119,6,101
146679,123,7,0
147196,123,7,138
143113,123,7,295
146368,121,7,0
145796,130,7,196
148996,130,7,1
148996,135,7,0
153703,135,7,140
153269,135,7,123
158417,118,7,0
209021,119,7,48
212179,119,7,0
212112,125,7,0
214907,126,4,183
214907,126,4,40
214968,122,4,0
219676,124,4,169
231394,124,4,183
233866,88,4,0
232890,88,4,102
229025,88,4,1
229025,95,4,0
230862,92,4,337
230842,93,4,86
236783,84,1,2
264176,85,1,64
264176,85,1,3
264569,85,1,0
265832,85,1,236
265725,85,1,136
265767,81,0,0
265689,81,0,173
266689,81,0,103
269234,83,0,0
273774,75,0,79
270560,75,0,9
270560,77,0,0
268919,78,0,84
274869,80,0,111
282570,78,0,0
319593,79,0,152
317235,79,0,15
317201,72,0,0
311446,72,0,265
312397,74,0,36
313824,79,7,0
