VideoCompletes,SocialLikes,SocialShares,CTR,conversion,AudienceType,AdDigitalChannel
547484.0,14.0,0.0,0.2532315559552353,94,Audience Type 2,Programmatic Display
589491.0,14.0,0.0,0.2624207451444245,84,Audience Type 2,Programmatic Display
623798.0,14.0,0.0,0.2574133990166133,134,Audience Type 2,Programmatic Display
659708.0,14.0,0.0,0.25425764028025605,57,Audience Type 2,Programmatic Display
697957.0,14.0,0.0,0.251309360489871,142,Audience Type 2,Programmatic Display
740496.0,16.0,0.0,0.24534151237983395,70,Audience Type 2,Programmatic Display
778043.0,16.0,0.0,0.23973493260459872,39,Audience Type 2,Programmatic Display
787796.0,16.0,0.0,0.23542834090334547,37,Audience Type 2,Programmatic Display
798585.0,16.0,0.0,0.2330627385540389,66,Audience Type 2,Programmatic Display
812794.0,16.0,0.0,0.23039956803319023,45,Audience Type 2,Programmatic Display
820168.0,16.0,0.0,0.22784397292932615,61,Audience Type 2,Programmatic Display
833137.0,16.0,0.0,0.22723264997362644,55,Audience Type 2,Programmatic Display
829023.0,20.0,0.0,0.22954511760878898,34,Audience Type 2,Programmatic Display
829816.0,20.0,0.0,0.23136917105374458,157,Audience Type 2,Programmatic Display
805380.0,20.0,0.0,0.23544068320267716,41,Audience Type 2,Programmatic Display
790046.0,20.0,0.0,0.23274578905066956,21,Audience Type 2,Programmatic Display
798945.0,20.0,0.0,0.22958522620471428,14,Audience Type 2,Programmatic Display
809816.0,21.0,0.0,0.2253217904974731,26,Audience Type 2,Programmatic Display
793812.0,25.0,0.0,0.22189034533084656,13,Audience Type 2,Programmatic Display
799213.0,17.0,0.0,0.21931435366572255,0,Audience Type 2,Programmatic Display
792660.0,15.0,0.0,0.21586036726038457,13,Audience Type 2,Programmatic Display
761944.0,15.0,0.0,0.21463730545343548,1,Audience Type 2,Programmatic Display
780307.0,13.0,0.0,0.21216427422765857,7,Audience Type 2,Programmatic Display
790424.0,13.0,0.0,0.20848541617951308,11,Audience Type 2,Programmatic Display
794121.0,13.0,0.0,0.20442852460487987,3,Audience Type 2,Programmatic Display
791042.0,15.0,0.0,0.20059662567816908,3,Audience Type 2,Programmatic Display
803674.0,15.0,0.0,0.19829271151408406,38,Audience Type 2,Programmatic Display
812221.0,15.0,0.0,0.19545015853801248,10,Audience Type 2,Programmatic Display
802922.0,15.0,0.0,0.19256108404974767,6,Audience Type 2,Programmatic Display
823143.0,14.0,0.0,0.19030748984052961,7,Audience Type 2,Programmatic Display
848813.0,14.0,0.0,0.185440378148451,17,Audience Type 2,Programmatic Display
854640.0,14.0,0.0,0.17966166398971242,29,Audience Type 2,Programmatic Display
859034.0,14.0,0.0,0.17452538506161785,9,Audience Type 2,Programmatic Display
875924.0,14.0,0.0,0.1701938836061286,32,Audience Type 2,Programmatic Display
875328.0,16.0,0.0,0.16564004813845218,59,Audience Type 2,Programmatic Display
920286.0,14.0,0.0,0.162359622551063,39,Audience Type 2,Programmatic Display
953940.0,14.0,0.0,0.1599165837190997,26,Audience Type 2,Programmatic Display
984805.0,14.0,0.0,0.1544669474181572,19,Audience Type 2,Programmatic Display
972212.0,14.0,0.0,0.1530172947781682,10,Audience Type 2,Programmatic Display
956420.0,14.0,0.0,0.1529840275014103,2,Audience Type 2,Programmatic Display
944782.0,14.0,0.0,0.15410171316716328,0,Audience Type 2,Programmatic Display
931382.0,16.0,0.0,0.15415453035468868,10,Audience Type 2,Programmatic Display
919332.0,12.0,0.0,0.1517487380855137,1,Audience Type 2,Programmatic Display
982187.0,13.0,0.0,0.14911008124251296,30,Audience Type 2,Programmatic Display
1048078.0,14.0,0.0,0.1445060129168862,46,Audience Type 2,Programmatic Display
