VideoCompletes,SocialLikes,SocialShares,conversion,CampaignID,AdDigitalChannel
16491,0,0,24,4,Programmatic Display
25130,0,0,58,4,Programmatic Display
22457,0,0,5,4,Programmatic Display
20818,0,0,2,4,Programmatic Display
16176,0,0,12,4,Programmatic Display
11982,0,0,18,4,Programmatic Display
5536,0,0,29,4,Programmatic Display
6023,0,0,5,4,Programmatic Display
6136,0,0,2,4,Programmatic Display
6712,0,0,8,4,Programmatic Display
6402,0,0,1,4,Programmatic Display
6059,0,0,9,4,Programmatic Display
6421,0,0,10,4,Programmatic Display
7337,0,0,24,4,Programmatic Display
9503,0,0,20,4,Programmatic Display
33193,0,0,119,4,Programmatic Display
31663,0,0,1,4,Programmatic Display
32511,0,0,11,4,Programmatic Display
32707,0,0,7,4,Programmatic Display
29473,0,0,1,4,Programmatic Display
6901,0,0,13,4,Programmatic Display
13117,0,0,40,4,Programmatic Display
21827,0,0,52,4,Programmatic Display
21002,0,0,3,4,Programmatic Display
22186,0,0,3,4,Programmatic Display
21341,0,0,4,4,Programmatic Display
16242,0,0,4,4,Programmatic Display
6560,0,0,4,4,Programmatic Display
8037,0,0,0,4,Programmatic Display
6448,0,0,4,4,Programmatic Display
5421,5,2,0,4,Programmatic Display
3984,5,2,0,4,Programmatic Display
2826,5,2,0,4,Programmatic Display
480,5,2,0,4,Programmatic Display
484,5,2,0,4,Programmatic Display
4,0,0,0,4,Programmatic Display
4,0,0,0,4,Programmatic Display
916,0,0,0,4,Programmatic Display
916,0,0,0,4,Programmatic Display
912,0,0,0,4,Programmatic Display
912,0,0,0,4,Programmatic Display
912,0,0,1,4,Programmatic Display
0,0,0,0,4,Programmatic Display
0,0,0,0,4,Programmatic Display
18,0,0,12,4,Programmatic Display
18,0,0,0,4,Programmatic Display
18,0,0,0,4,Programmatic Display
18,0,0,0,4,Programmatic Display
602,0,0,1,4,Programmatic Display
3143,0,0,2,4,Programmatic Display
5609,0,0,2,4,Programmatic Display
7680,0,0,0,4,Programmatic Display
12053,0,0,1,4,Programmatic Display
12484,0,0,0,4,Programmatic Display
14033,0,0,10,4,Programmatic Display
12695,0,0,4,4,Programmatic Display
13506,0,0,3,4,Programmatic Display
13492,0,0,5,4,Programmatic Display
14349,0,0,1,4,Programmatic Display
11364,0,0,0,4,Programmatic Display
11894,0,0,1,4,Programmatic Display
10235,0,0,2,4,Programmatic Display
7261,0,0,1,4,Programmatic Display
6375,0,0,5,4,Programmatic Display
7737,0,0,17,4,Programmatic Display
9657,0,0,4,4,Programmatic Display
10443,0,0,8,4,Programmatic Display
10054,0,0,2,4,Programmatic Display
9541,0,0,1,4,Programmatic Display
10866,0,0,29,4,Programmatic Display
9929,0,0,9,4,Programmatic Display
10522,0,0,7,4,Programmatic Display
13152,0,0,15,4,Programmatic Display
13021,0,0,0,4,Programmatic Display
10582,0,0,3,4,Programmatic Display
8967,0,0,6,4,Programmatic Display
12725,0,0,30,4,Programmatic Display
10541,0,0,7,4,Programmatic Display
12325,0,0,9,4,Programmatic Display
16744,0,0,23,4,Programmatic Display
19041,0,0,0,4,Programmatic Display
16133,0,0,0,4,Programmatic Display
20923,0,0,0,4,Programmatic Display
21129,0,0,0,4,Programmatic Display
19669,0,0,0,4,Programmatic Display
18834,0,0,0,4,Programmatic Display
17519,0,0,45,4,Programmatic Display
16440,0,0,22,4,Programmatic Display
16690,0,0,22,4,Programmatic Display
66934,0,0,35,4,Programmatic Display
89138,0,0,31,4,Programmatic Display
121775,0,0,81,4,Programmatic Display
191832,3,0,256,4,Programmatic Display
221695,3,0,78,4,Programmatic Display
197364,3,0,59,4,Programmatic Display
249960,3,0,83,4,Programmatic Display
296033,4,0,48,4,Programmatic Display
325504,2,0,64,4,Programmatic Display
410929,4,0,152,4,Programmatic Display
518861,5,0,40,4,Programmatic Display
531595,5,0,41,4,Programmatic Display
532984,4,0,61,4,Programmatic Display
544776,3,0,212,4,Programmatic Display
524418,1,0,102,4,Programmatic Display
477344,0,0,131,4,Programmatic Display
533295,0,0,120,4,Programmatic Display
647023,0,0,93,4,Programmatic Display
625663,0,0,47,4,Programmatic Display
626887,0,0,67,4,Programmatic Display
630500,0,0,92,4,Programmatic Display
571202,0,0,99,4,Programmatic Display
478291,0,0,156,4,Programmatic Display
492356,2,0,147,4,Programmatic Display
577205,3,0,127,4,Programmatic Display
548489,3,0,34,4,Programmatic Display
546536,3,0,46,4,Programmatic Display
520854,3,0,65,4,Programmatic Display
481373,1,0,102,4,Programmatic Display
365333,0,0,30,4,Programmatic Display
368752,0,0,41,4,Programmatic Display
310593,0,0,149,4,Programmatic Display
236683,0,0,39,4,Programmatic Display
244902,0,0,45,4,Programmatic Display
231465,0,0,110,4,Programmatic Display
224408,1,0,28,4,Programmatic Display
254266,5,0,13,4,Programmatic Display
400565,5,0,11,4,Programmatic Display
478797,5,0,23,4,Programmatic Display
539979,5,0,16,4,Programmatic Display
593694,4,0,4,4,Programmatic Display
687361,0,0,25,4,Programmatic Display
642414,0,0,22,4,Programmatic Display
605971,1,0,8,4,Programmatic Display
607838,2,0,25,4,Programmatic Display
608391,2,0,5,4,Programmatic Display
563944,2,0,11,4,Programmatic Display
592694,2,0,61,4,Programmatic Display
655698,3,0,62,4,Programmatic Display
722386,2,0,40,4,Programmatic Display
759982,2,0,25,4,Programmatic Display
835484,2,0,24,4,Programmatic Display
864064,2,0,16,4,Programmatic Display
925541,0,0,69,4,Programmatic Display
982791,2,0,69,4,Programmatic Display
1002451,2,0,32,4,Programmatic Display
821646,2,0,1,4,Programmatic Display
659503,2,0,6,4,Programmatic Display
415317,2,0,11,4,Programmatic Display
174637,2,0,10,4,Programmatic Display
15534,2,0,2,4,Programmatic Display
89106,3,0,5,4,Programmatic Display
156966,4,0,29,4,Programmatic Display
246809,4,0,59,4,Programmatic Display
324082,2,0,23,4,Programmatic Display
365441,2,0,4,4,Programmatic Display
384644,1,0,28,4,Programmatic Display
391185,0,0,15,4,Programmatic Display
370250,0,0,3,4,Programmatic Display
367742,0,0,21,4,Programmatic Display
389117,0,0,4,4,Programmatic Display
361640,0,0,63,4,Programmatic Display
484369,0,0,13,4,Programmatic Display
620299,1,0,64,4,Programmatic Display
746286,1,0,35,4,Programmatic Display
